"EAN"|"CODE_ISP"
7800068011375|"F-11642"
740966938|"F-11643"
7800068011405|"F-11643"
7800068031717|"F-11646"
7800068013102|"F-11647"
742754459|"F-11648"
742755716|"F-11648"
7800068013508|"F-11648"
7800068013515|"F-11648"
7800068014307|"F-11652"
744670084|"F-11656"
7800068015601|"F-11656"
743694700|"F-1167"
7800060003187|"F-1167"
7800044000270|"F-11670"
743761668|"F-11677"
7800044000454|"F-11677"
7800044000119|"F-11678"
744433849|"F-11679"
7800044001833|"F-11679"
7800044001840|"F-11679"
743694735|"F-1168"
7800060003194|"F-1168"
7800060117709|"F-117"
7800060015401|"F-1170"
4260095681973|"F-1176"
7795368002157|"F-11818"
7795368001990|"F-11829"
7795368001815|"F-11830"
740451987|"F-11831"
7800030075923|"F-11831"
740455082|"F-11833"
7800030075930|"F-11833"
7800020048210|"F-11838"
8433042022532|"F-11838"
7800041045366|"F-11842"
7804651290024|"F-11846"
7800055000115|"F-11848"
7800008103054|"F-11859"
7795368001945|"F-11880"
7795368002560|"F-11896"
7805750110244|"F-1190"
7800060038752|"F-11912"
7800060038837|"F-11913"
7800038040398|"F-11921"
7800060039056|"F-11925"
7800060038912|"F-11926"
7800060039056|"F-11926"
7800026006672|"F-11929"
7800026013311|"F-11929"
7800068010118|"F-1193"
7800068010125|"F-1193"
744807261|"F-11936"
7800022000049|"F-11936"
7800060036703|"F-11937"
7800032004167|"F-11938"
7800032733739|"F-11938"
7800032337319|"F-11939"
7800009001458|"F-11942"
7800055000245|"F-11942"
7800009001441|"F-11943"
7800055000252|"F-11943"
7800026011768|"F-11946"
7800026015025|"F-11947"
7800026015698|"F-11948"
7800060116221|"F-11949"
7800060116306|"F-11949"
7804918402696|"F-11952"
7804918402702|"F-11952"
7804918441442|"F-11952"
742884926|"F-11954"
7800041047582|"F-11954"
744069248|"F-11957"
7800007615817|"F-11957"
7800007616036|"F-11957"
7800007616463|"F-11958"
7800007809728|"F-11958"
7800068010415|"F-1196"
7800007556387|"F-11969"
7804918403198|"F-11980"
7730698004006|"F-11991"
7800026002513|"F-11994"
7800026002520|"F-11995"
7800026002537|"F-11996"
7800018121192|"F-12014"
742535893|"F-1203"
7800068013010|"F-1203"
7800028001606|"F-12033"
740353535|"F-12034"
7800028001590|"F-12034"
6030185|"F-1204"
7800068013034|"F-1204"
7800068013041|"F-1204"
7800007739032|"F-12049"
743518326|"F-1206"
7800068014024|"F-1206"
7800038044617|"F-12064"
740771556|"F-12066"
7800028000531|"F-12066"
7800068014048|"F-1207"
7800068014055|"F-1207"
7800018120805|"F-12081"
7800007727534|"F-12082"
743910494|"F-1209"
7800068014123|"F-1209"
7800061001212|"F-12092"
7809591400816|"F-12115"
7800004369829|"F-12118"
7800004500819|"F-12118"
744488939|"F-12119"
7800004369836|"F-12119"
7800004500826|"F-12119"
7800020048319|"F-12121"
7800050000202|"F-12130"
743469189|"F-12133"
7803510003546|"F-12133"
7800028001125|"F-12145"
740615910|"F-12151"
7800063115405|"F-12151"
7800063116235|"F-12151"
742403831|"F-12165"
7800020059711|"F-12165"
7800020084409|"F-12165"
744580274|"F-12166"
7800007713827|"F-12166"
7800068015410|"F-1217"
7800050000271|"F-12185"
7800018125244|"F-12191"
3596540040103|"F-122"
7800017005431|"F-122"
741281126|"F-12205"
7800059003013|"F-12205"
7800059003037|"F-12205"
7800097002023|"F-12205"
7800050000264|"F-12227"
7800007805140|"F-12244"
740267406|"F-12247"
7800026015162|"F-12247"
7800060412460|"F-12253"
7800050000332|"F-12254"
7800050000578|"F-12255"
736085413397|"F-12259"
7800046000612|"F-12259"
7800026017364|"F-12267"
7800050002534|"F-12277"
7800026069196|"F-12284"
7800026069189|"F-12285"
7730969304286|"F-12298"
7730698005515|"F-12302"
7730969305313|"F-12302"
7730698005164|"F-12303"
736085413182|"F-12304"
7703333007274|"F-12343"
7800026016213|"F-12348"
742090330|"F-12349"
7800063111483|"F-12349"
744649904|"F-12361"
7800063111513|"F-12361"
742980318|"F-12370"
7896206405533|"F-12370"
7896206405540|"F-12371"
7896206405557|"F-12371"
8427426041844|"F-12374"
8427426041851|"F-12374"
7612791401763|"F-12384"
7795304866638|"F-12415"
742765791|"F-12416"
7795304866539|"F-12416"
7800063115443|"F-12420"
743284832|"F-12422"
7800063130514|"F-12422"
743284880|"F-12423"
7800056001135|"F-12446"
7897337713115|"F-12460"
7321831612006|"F-12468"
740894014|"F-12470"
7800059002931|"F-12470"
7800059002948|"F-12470"
741024855|"F-12474"
7800018127088|"F-12474"
742898454|"F-12479"
7730698002293|"F-12479"
742134323|"F-12493"
7800063130576|"F-12493"
7800026028216|"F-12494"
7800026028223|"F-12495"
7800026028230|"F-12496"
7800068010101|"F-12497"
7800020065910|"F-12499"
741350301|"F-1252"
7800038043177|"F-1252"
7800038043191|"F-1252"
741924482|"F-12546"
7800068031656|"F-12546"
7809591400823|"F-12573"
7809591402421|"F-12573"
7795373030602|"F-12574"
7800063310640|"F-12585"
7800063001708|"F-12586"
7800026159873|"F-12588"
743265980|"F-12589"
7795373011366|"F-12589"
7800026017722|"F-12610"
743810297|"F-1263"
7800038000125|"F-1263"
7800004501472|"F-12651"
743157000|"F-12657"
7800063330358|"F-12669"
7800050000370|"F-12678"
7800070004686|"F-12679"
7800038045812|"F-1269"
7800026021132|"F-12696"
7800038000132|"F-1270"
7800007690432|"F-12707"
7800097000654|"F-12711"
7800001004464|"F-1275"
7800001004525|"F-1275"
7800025017204|"F-1275"
7800025280011|"F-1275"
7702605171347|"F-12756"
7800025306018|"F-1276"
7800063330341|"F-12765"
3000941450770|"F-12789"
7800025286068|"F-12789"
744443176|"F-12799"
744447424|"F-12799"
7800028001187|"F-12799"
7800028001194|"F-12799"
7800018128085|"F-12802"
7800018159430|"F-12802"
740403050|"F-12803"
7800050001032|"F-12803"
7800060409408|"F-12816"
7800042803668|"F-12823"
742350178|"F-12837"
7798092890137|"F-12837"
7804602070279|"F-12838"
742350158|"F-12839"
7798092890168|"F-12839"
7800018128184|"F-12841"
744629584|"F-12844"
7800060412545|"F-12844"
7800060416611|"F-12844"
743027496|"F-12851"
7800007639325|"F-12851"
3499320002448|"F-12862"
7800007667458|"F-12865"
7800026007723|"F-12867"
740846666|"F-12873"
7800070000541|"F-12873"
7800026015483|"F-12892"
7896116863201|"F-12897"
7896116866202|"F-12897"
7800061001540|"F-12905"
7800060412705|"F-12913"
7800068011474|"F-12922"
